Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
26 Mar 19,27 Mar 19,Artemisia Gentileschi- &quot;Judith Slaying Holofernes&quot;,26426801,Graphic T-Shirt,United States,United States,MN,paid,1,32.55,25.56,6.99
26 Mar 19,28 Mar 19,Queen Zenobia,26424971,Sticker,United States,United States,IA,paid,1,1.64,1.12,0.52
22 Mar 19,22 Mar 19,"""Maid of Heaven""-Sir John Everett Millais",26346654,Sticker,United States,United States,FL,paid,1,1.34,1.03,0.31
22 Mar 19,24 Mar 19,"Frida Kahlo - Self Portrait with Thorn Necklace and Hummingbird, 1940",26345130,Relaxed Fit T-Shirt,Australia,New Zealand,SOUTHLAND,paid,1,21.56,16.58,4.98
19 Mar 19,21 Mar 19,Nekos(Cats) playing,26308117,Classic T-Shirt,United Kingdom,United Kingdom,ENGLAND,paid,1,21.02,16.82,4.20
18 Mar 19,22 Mar 19,Jean Benner - Salome,26291265,Classic T-Shirt,United States,United States,CO,paid,1,15.42,12.03,3.39
13 Mar 19,15 Mar 19,Saint Monica,26206818,Clock,United States,Australia,WA,paid,1,35.36,27.94,7.42
13 Mar 19,15 Mar 19,Japanese Wave,26205872,Greeting Card,United Kingdom,United Kingdom,none,paid,2,7.18,5.74,1.44
12 Mar 19,14 Mar 19,"""Portrait of the Duchess Le Salle"" - Tamara de Lempicka",26194675,T-Shirt,Netherlands,Germany,BE,paid,1,21.52,17.24,4.28
 9 Mar 19,11 Mar 19,"""Joan of Arc""- Albert Lynch",26146215,iPhone Case,United States,United States,OH,paid,1,20.58,15.83,4.75
 4 Mar 19, 6 Mar 19,Joan of Arc - Quote,26064672,Sticker,United States,United States,NY,paid,1,1.45,1.14,0.31
 2 Mar 19, 5 Mar 19,Joan of Arc- Meme Slogan,26027790,Sticker,United States,United States,NH,paid,1,1.34,1.03,0.31
 1 Mar 19, 5 Mar 19,Saint Empress Theodora Enthroned-Jean Joseph Benjamin-Constant,26013636,Sticker,United States,United States,SD,paid,1,1.42,1.11,0.31
28 Feb 19,11 Mar 19,St. Cecilia - Nicole Poussin,25993940,Greeting Card,United Kingdom,Russian Federation,Novosibirsk region,paid,1,1.34,1.03,0.31
19 Feb 19,21 Feb 19,Tzigane (Gipsy Woman) - Thomas Couture,25846141,Sticker,United States,United States,TX,paid,1,2.01,1.55,0.46
12 Feb 19,12 Feb 19,The Reluctant Bride - August Toulmouche,25731252,Poster,United States,United States,NY,paid,1,14.47,11.38,3.09
 5 Feb 19, 7 Feb 19,"""Maid of Heaven""-Sir John Everett Millais",25593313,Sticker,United States,United States,OR,paid,1,2.01,1.55,0.46
 2 Feb 19, 6 Feb 19,Three Girls - Amrita Sher-Gil,25541249,Sticker,United Kingdom,United Kingdom,ENGLAND,paid,1,1.18,0.95,0.23
29 Jan 19,30 Jan 19,St. Cecilia - Nicole Poussin,25463396,Sticker,United States,United States,CA,paid,2,2.86,2.24,0.62
28 Jan 19,30 Jan 19,"""Maid of Heaven""-Sir John Everett Millais",25439958,Sticker,United States,United States,MA,paid,1,1.34,1.03,0.31
23 Jan 19,23 Jan 19,Maskal Flower,25341843,Photographic Print,United States,United States,CA,paid,1,16.04,12.59,3.45
20 Jan 19,21 Jan 19,Joan of Arc - Quote,25275923,Classic T-Shirt,United States,United States,TX,paid,1,16.91,14.09,2.82
15 Jan 19,16 Jan 19,Judith and Her Servant - Artemisia Gentileschi,25190718,Sticker,United States,United States,IL,paid,1,1.42,1.14,0.28
13 Jan 19,14 Jan 19,"""Maid of Heaven""-Sir John Everett Millais",25147547,Sticker,United States,United States,CA,paid,1,2.11,1.68,0.43
12 Jan 19,14 Jan 19,Joan of Arc - Quote,25139380,Sticker,United States,United States,WA,paid,1,1.44,1.16,0.28
10 Jan 19,14 Jan 19,Judith and Her Servant - Artemisia Gentileschi,25103727,Art Print,United Kingdom,United Kingdom,SCOTLAND,paid,1,17.48,14.27,3.21
 7 Jan 19, 8 Jan 19,Artemisia Gentileschi- &quot;Judith Slaying Holofernes&quot;,25046619,Sleeveless Top,United States,United States,WA,paid,1,25.91,20.87,5.04
 7 Jan 19, 8 Jan 19,Judith and Her Servant - Artemisia Gentileschi w/ Feminist Quote,25035226,Sticker,United States,United States,MI,paid,1,1.39,1.11,0.28
30 Dec 18, 2 Jan 19,Judith and her Maidservant - Artemisia Gentileschi,24909477,Graphic T-Shirt,United States,United States,FL,paid,1,31.69,24.95,6.74
28 Dec 18,N/A,Judith and her Maidservant - Artemisia Gentileschi,24876249,Graphic T-Shirt,United States,United States,FL,cancelled,1,26.94,21.21,5.73
26 Dec 18,28 Dec 18,Jean Benner - Salome,24828327,Sticker,Netherlands,Germany,HH,paid,1,1.52,1.24,0.28
17 Dec 18,20 Dec 18,Judith and Her Servant - Artemisia Gentileschi,24636680,Art Board Print,United Kingdom,Belgium,Vlaanderen,paid,1,13.12,10.71,2.41
17 Dec 18,20 Dec 18,Artemisia Gentileschi- &quot;Judith Slaying Holofernes&quot;,24636680,Art Board Print,United Kingdom,Belgium,Vlaanderen,paid,1,13.12,10.71,2.41
16 Dec 18,19 Dec 18,Artemisia Gentileschi- &quot;Judith Slaying Holofernes&quot;,24596984,Fitted Scoop T-Shirt,United Kingdom,United Kingdom,Scotland,paid,1,24.79,20.24,4.55
16 Dec 18,19 Dec 18,Dumpling,24588452,T-Shirt,United States,United States,MD,paid,1,23.84,19.06,4.78
16 Dec 18,18 Dec 18,Diana - Goddess of the Hunt,24576407,T-Shirt,United Kingdom,United Kingdom,ENGLAND,paid,1,19.64,16.03,3.61
16 Dec 18,18 Dec 18,Charles-Amable Lenoir - Joan of Arc,24574332,Sticker,United States,United States,VA,paid,1,1.97,1.55,0.42
16 Dec 18,18 Dec 18,Joan of Arc - Quote,24574332,Sticker,United States,United States,VA,paid,1,1.97,1.55,0.42
15 Dec 18,20 Dec 18,Artemisia Gentileschi- &quot;Judith Slaying Holofernes&quot;,24545898,Tote Bag,Germany,Belgium,FLANDERS,paid,1,15.17,12.37,2.80
13 Dec 18,19 Dec 18,Artemisia Gentileschi- &quot;Judith Slaying Holofernes&quot;,24440275,Scarf,United Kingdom,United Kingdom,City of Glasgow,paid,1,27.85,22.73,5.12
11 Dec 18,17 Dec 18,Artemisia Gentileschi- &quot;Judith Slaying Holofernes&quot;,24335169,Art Board Print,United Kingdom,Ireland,CAVAN,paid,1,17.87,14.59,3.28
11 Dec 18,14 Dec 18,Japanese Wave,24312885,Greeting Card,United Kingdom,Finland,SOUTHWEST FINLAND,paid,1,1.49,1.22,0.27
10 Dec 18,14 Dec 18,"""Maid of Heaven""-Sir John Everett Millais",24262060,T-Shirt,Netherlands,France,Midi-Pyrénées,paid,1,21.38,17.48,3.90
10 Dec 18,14 Dec 18,Charles-Amable Lenoir - Joan of Arc,24262060,Tri-blend T-Shirt,Netherlands,France,Midi-Pyrénées,paid,1,28.85,23.59,5.26
 9 Dec 18,13 Dec 18,Judith and Her Servant - Artemisia Gentileschi w/ Feminist Quote,24207231,iPhone Case,United Kingdom,United Kingdom,ENGLAND,paid,1,26.05,21.27,4.78
 9 Dec 18, 9 Dec 18,"""Maid of Heaven""-Sir John Everett Millais",24170283,Sticker,United States,United States,IL,paid,1,6.89,5.50,1.39
 8 Dec 18,11 Dec 18,Itadakimasu- Zombie Ramen,24129210,Sticker,United States,United States,AK,paid,1,1.31,1.03,0.28
